title,views,when
Gutfeld: Biden finally admitted what we've been saying all along,619000,86400
Pete Hegseth: This is an assault on families,87000,86400
Ingraham: Biden is trying to finish off America,392000,86400
Download the Fox News app now,4600,86400
FBI slammed for not having answers on secret Chinese police stations,60000,86400
What did Kamala just say?,857000,86400
Do these books look appropriate for kids?,16000,86400
Gutfeld: School districts from around the country are buying into this,396000,86400
Pete Hegseth: Biden got caught red-handed,193000,86400
'The Five': Biden caught 'red-handed',275000,86400
Karl Rove: This isn't the way Biden wants to go into the election,81000,86400
Jerry Springer dead at 79,390000,86400
Tulsi Gabbard: This is literal insanity,168000,86400
"We are getting sicker, fatter and more depressed: Calley Means",19000,86400
Gutfeld: No one wants to do this,313000,86400
Judge Jeanine: This is a serious stand against cancel culture,125000,86400
Riley Gaines goes off on Lia Thomas' 'gaslighting',361000,86400
Ramaswamy: 'Biden isn't really running for president',215000,86400
"Second U.S. citizen killed in Sudan, White House confirms",22000,86400
Brian Kilmeade: Biden released the single most divisive campaign ad,210000,86400
Seen and Unseen: Biden’s 2024 blooper reel,89000,86400
Will Cain: Biden has been flirting with America for 50 years,205000,86400
Kayleigh McEnany: Biden running on stopping ‘MAGA’ Republicans,47000,86400
Ingraham: The Democratic Party has gone insane,249000,86400
WE DESERVE BETTER: GOP rep. blasts Biden's performance after 2024 announcement,102000,86400
Democrats blasted as 'undemocratic' for skipping debates,117000,86400
Brian Kilmeade: The Democratic Party wants to bury this story,171000,86400
Vivek Ramaswamy: This is a form of elder abuse,27000,86400
Something strange is going on in Texas: UFO investigator,167000,86400
Biden family crimes to be exposed: Rep. Jim Jordan,208000,86400
‘The Five’: Get ready for Biden’s 2024 campaign,127000,86400
Bill Maher calls out liberal cities: Why isn't anyone talking about this?,714000,86400
Dana Perino: Even the NY Times is saying this now,101000,86400
'This is a gut punch': Biden to announce 2024 bid amid 'devastating' poll,205000,86400
Hilton: Biden is pandering to the far-left climate zealots,19000,86400
SWAT destroyed this cancer survivor’s house. Here's why they may have to pay up | Digital Original,259000,86400
Legendary NBA coach Phil Jackson slams league for becoming too political,29000,86400
Brian Kilmeade: The White House wasted no time cleaning up this mess,663000,86400
Jonathan Turley: ‘Time is running out’ for Hunter Biden,341000,86400
Democrats torched over 'crazy' proposal protecting LGBTQ+ migrants,326000,86400
"U.S. embassy staff, families evacuated from Sudan",547000,86400
Why the China threat is growing at the United States' expense,76000,86400
HBO's Bill Maher awards heroes who defeated cancel culture,239000,86400
Jake Gyllenhaal: This made me proud to be an American,38000,86400
Author warns Tucker about mob rule in America,181000,86400
Economist to Tucker: Biden's 'reckless policy' will put Americans 'underwater',83000,86400
The Duffys on what GOP lawmakers are getting wrong on abortion | From The Kitchen Table,10000,86400
