title,views,when,words
A Trump conviction would prove he was 'reckless with national security': Haley,46000,20160,"['a', 'trump', 'conviction', 'would', 'prove', 'he', 'was', 'reckless', 'with', 'national', 'security', 'haley']"
Kayleigh McEnany: This is backfiring massively on the left,824000,20160,"['kayleigh', 'mcenany', 'this', 'is', 'backfiring', 'massively', 'on', 'the', 'left']"
This was a 'total setup' from liberal reporter to Biden: Marco Rubio,151000,20160,"['this', 'was', 'a', 'total', 'setup', 'from', 'liberal', 'reporter', 'to', 'biden', 'marco', 'rubio']"
'I had to act': Marine vet charged in NYC chokehold death speaks out,68000,20160,"['i', 'had', 'to', 'act', 'marine', 'vet', 'charged', 'in', 'nyc', 'chokehold', 'death', 'speaks', 'out']"
White House accused of violating flag code with Pride display,225000,20160,"['white', 'house', 'accused', 'of', 'violating', 'flag', 'code', 'with', 'pride', 'display']"
James Comer: The Biden family had 20 shell companies,360000,20160,"['james', 'comer', 'the', 'biden', 'family', 'had', 'shell', 'companies']"
Gutfeld: Newsom should stick to destroying California,340000,20160,"['gutfeld', 'newsom', 'should', 'stick', 'to', 'destroying', 'california']"
Trump indictment proves DC is a 'cesspool of dishonesty': Charlie Hurt,68000,20160,"['trump', 'indictment', 'proves', 'dc', 'is', 'a', 'cesspool', 'of', 'dishonesty', 'charlie', 'hurt']"
Kat Timpf: This is killing comedy,65000,20160,"['kat', 'timpf', 'this', 'is', 'killing', 'comedy']"
Lawrence Jones: These parents are terrified,107000,20160,"['lawrence', 'jones', 'these', 'parents', 'are', 'terrified']"
Judge Jeanine on Trump indictment: 'This is crazy',163000,20160,"['judge', 'jeanine', 'on', 'trump', 'indictment', 'this', 'is', 'crazy']"
Tulsi Gabbard: Biden deserves to be impeached if this is true,227000,20160,"['tulsi', 'gabbard', 'biden', 'deserves', 'to', 'be', 'impeached', 'if', 'this', 'is', 'true']"
Texas deploys new strategy to handle migrant influx,713000,20160,"['texas', 'deploys', 'new', 'strategy', 'to', 'handle', 'migrant', 'influx']"
Trump attorney: I’ve never seen such selective prosecution in my life,152000,20160,"['trump', 'attorney', 'ive', 'never', 'seen', 'such', 'selective', 'prosecution', 'in', 'my', 'life']"
All of America should see this document: Rep. Marjorie Taylor Greene,481000,20160,"['all', 'of', 'america', 'should', 'see', 'this', 'document', 'rep', 'marjorie', 'taylor', 'greene']"
Maybe AOC will jump into the primary: Mark Penn,36000,20160,"['maybe', 'aoc', 'will', 'jump', 'into', 'the', 'primary', 'mark', 'penn']"
Jesse Watters: The Biden admin wants Trump to die in prison,291000,20160,"['jesse', 'watters', 'the', 'biden', 'admin', 'wants', 'trump', 'to', 'die', 'in', 'prison']"
Bill Barr hits back at top Democrat over Biden probe: 'He's confused',181000,20160,"['bill', 'barr', 'hits', 'back', 'at', 'top', 'democrat', 'over', 'biden', 'probe', 'hes', 'confused']"
Kayleigh McEnany: We’re now in uncharted territory,189000,30240,"['kayleigh', 'mcenany', 'were', 'now', 'in', 'uncharted', 'territory']"
'RIDICULOUS': Moms group listed on extremist 'hate map',25000,30240,"['ridiculous', 'moms', 'group', 'listed', 'on', 'extremist', 'hate', 'map']"
